始発停留所	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	金沢駅【１】	
始発時間	10:15	15:05	16:30	17:55	
終点時間	13:22	18:12	19:47	20:33	
終点停留所	珠洲鉢ケ崎	珠洲鉢ケ崎	珠洲鉢ケ崎	すずなり館前-C	
備考					
兼六園下（石川門）	10:15	15:05	16:30		
広坂（金沢２１世紀美術館前）	10:16	15:06	16:31		
香林坊（東横イン前）	10:18	15:08	16:33		
武蔵ヶ辻（エムザ前）	10:21	15:11	16:36		
金沢駅【１】	10:30	15:20	16:45	17:55	
駅西合庁前（西念南から）	10:36	15:26	16:51	18:01	
県庁前-B	10:39	15:29	16:54	18:04	
向陽台（能登特急線）	10:52	15:42	17:07	18:17	
医大病院-B	10:56	15:46	17:11	18:21	
西山ＰＡ-B	11:37	16:27	17:52	19:02	
穴水駅前-D	-	-	18:27	-	
此の木（８番ラーメン向）	12:07	16:57	18:32	19:32	
精育園前-A	12:14	17:04	18:39	19:39	
能登空港	12:20	17:10	18:45	19:45	
桜峠-A	12:30	17:20	18:55	19:55	
中斉-A	12:34	17:24	18:59	19:59	
寺分-A	12:38	17:28	19:03	20:03	
柳田天坂-C	12:40	17:30	19:05	20:05	
柳田上町-D	12:42	17:32	19:07	20:07	
柳田植物公園口	12:44	17:34	19:09	20:09	
内浦駒渡	12:48	17:38	19:13	20:13	
鵜島	12:58	17:48	19:23	20:23	
珠洲鵜飼	13:00	17:50	19:25	20:25	
上戸	13:03	17:53	19:28	20:28	
珠洲市役所前	13:05	17:55	19:30	20:30	
すずなり館前-C	13:08	17:58	19:33	20:33	
正院-A	13:14	18:04	19:39		
弁天公園前-A	13:17	18:07	19:42		
珠洲鉢ケ崎	13:22	18:12	19:47		