始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】		
始発時間	07:30	07:48	08:30	09:13	09:55	10:40	11:05	11:55	12:55	13:45	14:35	15:25	16:55	17:55	18:55	19:50	20:50	23:30		
終点時間	08:08	08:26	09:08	09:51	10:33	11:18	11:43	12:33	13:33	14:23	15:13	16:03	17:33	18:33	19:33	20:28	21:28	23:55		
終点停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	若松（若松西から）		
備考		ノンステップバス		ノンステップバス																
金沢駅【６】	07:30	07:48	08:30	09:13	09:55	10:40	11:05	11:55	12:55	13:45	14:35	15:25	16:55	17:55	18:55	19:50	20:50	23:30		
リファーレ前-A	07:32	07:50	08:32	09:15	09:57	10:42	11:07	11:57	12:57	13:47	14:37	15:27	16:57	17:57	18:57	19:52	20:52	23:32		
武蔵ヶ辻（近江町市場前）	07:35	07:53	08:35	09:18	10:00	10:45	11:10	12:00	13:00	13:50	14:40	15:30	17:00	18:00	19:00	19:54	20:54	23:34		
南町-A	07:37	07:55	08:37	09:20	10:02	10:47	11:12	12:02	13:02	13:52	14:42	15:32	17:02	18:02	19:02	19:55	20:55	23:35		
香林坊（アトリオ前）	07:39	07:57	08:39	09:22	10:04	10:49	11:14	12:04	13:04	13:54	14:44	15:34	17:04	18:04	19:04	19:57	20:57	23:37		
香林坊（中央公園前）	07:39	07:57	08:39	09:22	10:04	10:49	11:14	12:04	13:04	13:54	14:44	15:34	17:04	18:04	19:04	19:57	20:57	23:37		
広坂（しいのき迎賓館前）	07:40	07:58	08:40	09:23	10:05	10:50	11:15	12:05	13:05	13:55	14:45	15:35	17:05	18:05	19:05	19:58	20:58	23:38		
兼六園下（北鉄車庫前）	07:42	08:00	08:42	09:25	10:07	10:52	11:17	12:07	13:07	13:57	14:47	15:37	17:07	18:07	19:07	20:00	21:00	23:40		
小将町-A	07:43	08:01	08:43	09:26	10:08	10:53	11:18	12:08	13:08	13:58	14:48	15:38	17:08	18:08	19:08	20:01	21:01	23:41		
横山町-A	07:44	08:02	08:44	09:27	10:09	10:54	11:19	12:09	13:09	13:59	14:49	15:39	17:09	18:09	19:09	20:02	21:02	23:42		
暁町-A	07:45	08:03	08:45	09:28	10:10	10:55	11:20	12:10	13:10	14:00	14:50	15:40	17:10	18:10	19:10	20:03	21:03	23:43		
桜町-A	07:46	08:04	08:46	09:29	10:11	10:56	11:21	12:11	13:11	14:01	14:51	15:41	17:11	18:11	19:11	20:04	21:04	23:44		
鈴見台一丁目（田上方向）	-	08:06	-	09:31	-	10:58	11:23	12:13	13:13	14:03	14:53	15:43	17:13	18:13	19:13	20:06	21:06	-		
鈴見台一丁目（アオキ前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
鈴見町-A	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
鈴見台二丁目（若松方向）	-	08:07	-	09:32	-	10:59	11:24	12:14	13:14	14:04	14:54	15:44	17:14	18:14	19:14	20:07	21:07	-		
若谷-A	-	08:08	-	09:33	-	11:00	11:25	12:15	13:15	14:05	14:55	15:45	17:15	18:15	19:15	20:08	21:08	-		
田井町-A	07:47	-	08:47	-	10:12	-	-	-	-	-	-	-	-	-	-	-	-	23:45		
旭町口-A	07:48	-	08:48	-	10:13	-	-	-	-	-	-	-	-	-	-	-	-	23:46		
旭町（金大方向）	07:49	-	08:49	-	10:14	-	-	-	-	-	-	-	-	-	-	-	-	23:47		
若松橋-A	07:51	-	08:51	-	10:16	-	-	-	-	-	-	-	-	-	-	-	-	23:49		
若松西-A	07:52	-	08:52	-	10:17	-	-	-	-	-	-	-	-	-	-	-	-	23:50		
若松（若松西から）	07:53	-	08:53	-	10:18	-	-	-	-	-	-	-	-	-	-	-	-	23:55		
若松（田上方向）	-	08:09	-	09:34	-	11:01	11:26	12:16	13:16	14:06	14:56	15:46	17:16	18:16	19:16	20:09	21:09			
角間新町-A	07:55	08:11	08:55	09:36	10:20	11:03	11:28	12:18	13:18	14:08	14:58	15:48	17:18	18:18	19:18	20:11	21:11			
金沢大学角間口-A	07:56	08:12	08:56	09:37	10:21	11:04	11:29	12:19	13:19	14:09	14:59	15:49	17:19	18:19	19:19	20:12	21:12			
金沢大学自然研前	07:57	08:13	08:57	09:38	10:22	11:05	11:30	12:20	13:20	14:10	15:00	15:50	17:20	18:20	19:20	20:13	21:13			
金沢大学中央-A	07:59	08:15	08:59	09:40	10:24	11:07	11:32	12:22	13:22	14:12	15:02	15:52	17:22	18:22	19:22	20:15	21:15			
金沢大学-B	08:08	08:26	09:08	09:51	10:33	11:18	11:43	12:33	13:33	14:23	15:13	16:03	17:33	18:33	19:33	20:28	21:28			