始発停留所	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目		
始発時間	06:58	07:08	07:27		
終点時間	07:44	08:01	08:05		
終点停留所	金沢駅【降車場】	星稜高校（駐車場内）	武蔵ヶ辻（降車場・かなざわはこまち裏）		
備考					
南四十万二丁目			07:27		
南四十万-B			07:27		
中四十万（南四十万から）			07:29		
南部車庫（車庫内）	06:58	07:08	-		
加賀産上林-B	07:00	07:10	-		
加賀産新庄-B	07:02	07:12	-		
中四十万（南部車庫から）	07:04	07:13	-		
四十万-B	07:05	07:14	07:30		
しじま台-B	07:06	07:15	07:31		
額中学校前-B	07:06	07:15	07:31		
大額三丁目-B	07:07	07:16	07:32		
大額二丁目-B	07:08	07:17	07:33		
光が丘口（四十万から）	07:09	07:18	07:34		
扇台小学校前-B	07:11	07:19	07:36		
扇が丘-B	07:12	07:20	07:37		
金沢工業大学（四十万から）	07:13	07:21	07:38		
久安大橋-B	-	-	-		
三馬日赤病院前-B	07:14	07:22	07:39		
錦丘高校前（四十万から）	07:15	07:24	07:40		
伏見台（市内方向）	07:16	07:25	07:41		
寺地-B	07:17	07:26	07:42		
上有松-B	07:18	07:27	07:43		
有松（寺地から）	07:19	07:28	07:44		
泉二丁目-B	07:20	07:30	07:46		
泉一丁目-B	07:21	07:32	07:48		
野町-B	07:22	07:33	07:49		
広小路（有松から）	07:23	07:34	07:50		
片町	07:25	07:37	07:53		
香林坊（日銀前）	07:26	07:38	07:54		
南町-B	07:27	07:39	07:55		
武蔵ヶ辻（降車場・かなざわはこまち裏）	-	-	08:05		
武蔵ヶ辻（めいてつエムザ前）	07:28	07:40			
リファーレ前-B	07:29	-			
金沢駅【降車場】	07:44	-			
彦三-A		07:42			
瓢箪町-A		07:43			
小橋町-A		07:44			
森山二丁目（山の上方向）		07:45			
山の上（鳴和方向）		07:47			
春日町（山の上から）		07:48			
桜丘高校前-A		07:50			
鳴和台-C		07:51			
御所町-A		07:52			
星稜高校（駐車場内）		08:01			