始発停留所	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	星稜高校（駐車場内）	武蔵ヶ辻（近江町市場前）	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	
始発時間	08:30	09:20	15:23	15:35	19:15	21:15	22:03	22:48	23:33	
終点時間	09:15	10:05	16:16	16:16	20:06	22:01	22:49	23:34	24:16	
終点停留所	鶴寿園	鶴寿園	南部車庫-A	南部車庫-A	南部車庫-A	南部車庫-A	南部車庫-A	南部車庫-A	南部車庫-A	
備考		ノンステップバス	学期休み期間、運休	学期休み期間のみ運行	ノンステップバス					
星稜高校（駐車場内）			15:23							
御所町-B			15:24							
鳴和台-D			15:25							
桜丘高校前-B			15:26							
春日町（山の上方向）			15:28							
山の上（彦三方向）			15:29							
森山二丁目（彦三方向）			15:30							
小橋町-B			15:31							
瓢箪町-B			15:32							
彦三-B			15:33							
金沢駅【８】			-		19:15	21:15	22:03	22:48	23:33	
リファーレ前-A			-		19:17	21:17	22:05	22:50	23:35	
武蔵ヶ辻（近江町市場前）	08:30	09:20	15:35	15:35	19:20	21:19	22:07	22:52	23:37	
南町-A	08:32	09:22	15:37	15:37	19:22	21:20	22:08	22:53	23:38	
香林坊（アトリオ前）	08:33	09:23	15:39	15:39	19:24	21:22	22:10	22:55	23:40	
片町（パシオン前）	08:35	09:25	15:40	15:40	19:27	21:25	22:13	22:58	23:43	
広小路（有松方向）	08:37	09:27	15:42	15:42	19:29	21:27	22:15	23:00	23:45	
野町-A	08:38	09:28	15:43	15:43	19:30	21:28	22:16	23:01	23:46	
泉一丁目-A	08:39	09:29	15:44	15:44	19:31	21:29	22:17	23:02	23:47	
泉二丁目-A	08:41	09:31	15:46	15:46	19:33	21:31	22:19	23:04	23:49	
有松（寺地方向）	08:43	09:33	15:48	15:48	19:35	21:33	22:21	23:06	23:51	
上有松-A	08:44	09:34	15:49	15:49	19:36	21:34	22:22	23:07	23:52	
寺地-A	08:45	09:35	15:50	15:50	19:37	21:35	22:23	23:08	23:53	
伏見台（郊外方向）	08:46	09:36	15:51	15:51	19:38	21:36	22:24	23:09	23:54	
錦丘高校前（四十万方向）	08:47	09:37	15:52	15:52	19:39	21:37	22:25	23:10	23:55	
三馬日赤病院前-A	08:49	09:39	15:54	15:54	19:40	21:39	22:27	23:12	23:57	
金沢工業大学（四十万方向）	08:51	09:41	15:56	15:56	19:42	21:41	22:29	23:14	23:59	
扇が丘-A	08:52	09:42	15:57	15:57	19:43	21:42	22:30	23:15	24:00	
扇台小学校前-A	08:53	09:43	15:58	15:58	19:44	21:43	22:31	23:16	24:01	
光が丘口（四十万方向）	08:55	09:45	16:00	16:00	19:46	21:44	22:32	23:17	24:02	
大額二丁目-A	08:56	09:46	16:01	16:01	19:47	21:45	22:33	23:18	24:03	
大額三丁目-A	08:57	09:47	16:02	16:02	19:48	21:46	22:34	23:19	24:04	
額中学校前-A	-	-	16:03	16:03	19:49	21:47	22:35	23:20	24:05	
しじま台-A	-	-	16:04	16:04	19:50	21:48	22:36	23:21	24:06	
四十万-A	-	-	16:05	16:05	19:51	21:49	22:37	23:22	24:07	
中四十万（南部車庫方向）	-	-	16:06	16:06	19:52	21:50	22:38	23:23	24:08	
加賀産新庄-A	-	-	16:08	16:08	19:54	21:52	22:40	23:25	24:10	
加賀産上林-A	-	-	16:10	16:10	19:56	21:54	22:42	23:27	24:12	
南部車庫-A	-	-	16:16	16:16	20:06	22:01	22:49	23:34	24:16	
額谷一丁目-A	08:58	09:48								
鶴寿園	09:15	10:05								