始発停留所	戸水				
始発時間	18:20				
終点時間	19:14				
終点停留所	大桑本町				
備考	ノンステップバス				
戸水	18:20				
大友	18:21				
大友１丁目-B	18:22				
工業試験場口	18:25				
鞍月-B	-				
三浦住宅前-B	-				
南新保口-B	-				
諸江団地-B	-				
消費生活支援センター	-				
戸水西-B	-				
工業試験場	-				
金沢西高校-B	18:26				
市立工業高校東口	18:27				
藤江北-B	18:28				
県庁前-C	18:29				
中央病院前	-				
映寿会みらい病院	-				
駅西合庁前（西念南方向）	-				
西念西-B	-				
西念南-B	-				
広岡-B	-				
駅西合庁前（西念東方向）	18:32				
双葉町	18:33				
西念-B	18:35				
西念東-B	18:36				
勤労者プラザ前-B	18:37				
金沢駅西口降車	18:40				
金沢駅西口【５】	18:40				
広岡口（中橋方向）	18:42				
中橋-B	18:43				
六枚町（こんや湯前）	18:45				
武蔵ヶ辻（近江町市場前）	18:47				
武蔵ヶ辻（三井住友銀行前）	-				
南町-A	18:48				
香林坊（アトリオ前）	18:51				
香林坊（中央公園前）	18:51				
広坂（石浦神社前）	18:53				
本多町-A	18:54				
幸町-A	18:55				
思案橋-A	18:56				
猿丸神社前（花里方向）	18:57				
川上-A	18:58				
城南二丁目-B	18:59				
笠舞本町	19:00				
城南一丁目	19:01				
雪見橋	19:03				
西大桑	19:04				
大桑-A	19:05				
大桑住宅（大桑本町方向）	19:06				
大桑タウン-A	19:07				
大桑ランプ口-A	19:08				
大桑神社前-A	19:09				
大桑本町	19:14				