始発停留所	中能登中学校-A	良川-B	織姫の里	織姫の里	中能登中学校-A	中能登中学校-A	中能登中学校-A			
始発時間	07:33	08:45	12:30	15:10	16:33	18:10	19:20			
終点時間	08:00	09:15	13:06	15:46	17:00	18:37	19:47			
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】			
備考							学期休み期間、運休			
織姫の里			12:30	15:10						
アルプラザ鹿島-A			12:33	15:13						
中能登中学校-A	07:33		12:38	15:18	16:33	18:10	19:20			
中能登中学校-B	-		-	-	-	-	-			
良川-B	-	08:45	-	-	-	-	-			
良川-C	07:35	-	12:40	15:20	16:35	18:12	19:22			
良川新町	-	08:46	-	-	-	-	-			
良川駅前	07:36	-	12:41	15:21	16:36	18:13	19:23			
良川住宅前-A	07:37	-	12:42	15:22	16:37	18:14	19:24			
良川住宅前-B	-	-	-	-	-	-	-			
鳥屋小学校前-A	07:38	08:48	12:44	15:24	16:38	18:15	19:25			
末坂-A	07:40	08:49	12:45	15:25	16:40	18:17	19:27			
羽坂-A	07:41	08:50	12:46	15:26	16:41	18:18	19:28			
大槻-A	07:42	08:51	12:47	15:27	16:42	18:19	19:29			
新庄-A	07:43	08:52	12:48	15:28	16:43	18:20	19:30			
廿九日-B	07:44	08:53	12:49	15:29	16:44	18:21	19:31			
上白馬-A	07:45	08:54	12:50	15:30	16:45	18:22	19:32			
白馬口-A	07:46	08:55	12:51	15:31	16:46	18:23	19:33			
青葉台-A	07:47	08:56	12:52	15:32	16:47	18:24	19:34			
細口-A	07:48	08:57	12:53	15:33	16:48	18:25	19:35			
国分-A	07:49	08:58	12:54	15:34	16:49	18:26	19:36			
七尾警察署前-A	07:50	08:59	12:55	15:35	16:50	18:27	19:37			
岩屋町-A	07:51	09:00	12:56	15:36	16:51	18:28	19:38			
西藤橋-A	07:52	-	12:57	15:37	16:52	18:29	19:39			
岩屋（化石層）	-	09:01	-	-	-	-	-			
能登総合病院	-	09:05	-	-	-	-	-			
七尾美術館前-B	-	09:07	-	-	-	-	-			
小丸山公園下-B	07:54	09:09	12:59	15:39	16:54	18:31	19:41			
七尾駅前【１】	08:00	09:15	13:06	15:46	17:00	18:37	19:47			