始発停留所	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	
始発時間	08:40	10:10	12:50	16:55	
終点時間	09:17	10:47	13:27	17:32	
終点停留所	済生会病院	済生会病院	済生会病院	済生会病院	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
金沢駅【１１】	08:40	10:10	12:50	16:55	
リファーレ前-A	08:42	10:12	12:52	16:57	
武蔵ヶ辻（近江町市場前）	08:45	10:15	12:55	17:00	
南町-A	08:47	10:17	12:57	17:02	
香林坊（アトリオ前）	08:49	10:19	12:59	17:04	
片町（パシオン前）	08:52	10:22	13:02	17:07	
白菊町-A	08:54	10:24	13:04	17:09	
増泉一丁目-A	08:55	10:25	13:05	17:10	
増泉（新神田方向）	08:57	10:27	13:07	17:12	
新神田（古府方向）	08:59	10:29	13:09	17:14	
米丸学校前（新神田から）	09:01	10:31	13:11	17:16	
間明二丁目-A	09:02	10:32	13:12	17:17	
古府南-A	09:03	10:33	13:13	17:18	
松島（松島北方向）	09:04	10:34	13:14	17:19	
松島北-A	09:06	10:36	13:16	17:21	
西部緑地公園-C	09:08	10:38	13:18	17:23	
稚日野（済生会病院方向）	09:10	10:40	13:20	17:25	
済生会病院	09:17	10:47	13:27	17:32	