始発停留所	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A				
始発時間	06:50	08:05	11:00	13:10	15:40	18:30				
終点時間	07:30	08:45	11:35	13:45	16:15	19:05				
終点停留所	輪島病院-C	輪島病院-C	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】				
備考										
門前-A	06:50	08:05	11:00	13:10	15:40	18:30				
日野尾-A	06:51	08:06	11:01	13:11	15:41	18:31				
広瀬-A	06:52	08:07	11:02	13:12	15:42	18:32				
保健センター前-B	06:53	08:08	11:03	13:13	15:43	18:33				
本市-B	06:54	08:09	11:04	13:14	15:44	18:34				
本市口-B	06:55	08:10	11:05	13:15	15:45	18:35				
田村-A	06:56	08:11	11:06	13:16	15:46	18:36				
正仏-A	06:57	08:12	11:07	13:17	15:47	18:37				
浦上-A	06:58	08:13	11:08	13:18	15:48	18:38				
知気女-A	06:59	08:14	11:09	13:19	15:49	18:39				
中屋-A	07:01	08:16	11:11	13:21	15:51	18:41				
上中屋-A	07:02	08:17	11:12	13:22	15:52	18:42				
西円山-A	07:04	08:19	11:14	13:24	15:54	18:44				
縄又-A	07:07	08:22	11:17	13:27	15:57	18:47				
下縄又-A	07:08	08:23	11:18	13:28	15:58	18:48				
二俣-A	07:09	08:24	11:19	13:29	15:59	18:49				
二俣学校前-A	07:10	08:25	11:20	13:30	16:00	18:50				
黒川-A	07:11	08:26	11:21	13:31	16:01	18:51				
四十九坊-A	07:12	08:27	11:22	13:32	16:02	18:52				
長井-A	07:14	08:29	11:24	13:34	16:04	18:54				
稲屋-A	07:16	08:31	11:26	13:36	16:06	18:56				
大屋学校前-A	07:17	08:32	11:27	13:37	16:07	18:57				
小伊勢-A	07:18	08:33	11:28	13:38	16:08	18:58				
県立漆芸研修所前-A	07:19	08:34	11:29	13:39	16:09	18:59				
測候所前-A	07:20	08:35	11:30	13:40	16:10	19:00				
新橋-A	07:21	08:36	11:31	13:41	16:11	19:01				
中央通り-A	07:22	08:37	11:32	13:42	16:12	19:02				
馬場町-A	07:23	08:38	11:33	13:43	16:13	19:03				
輪島駅前【２】	-	-	11:35	13:45	16:15	19:05				
輪島駅前【３】	07:25	08:40								
輪島病院-C	07:30	08:45								