始発停留所	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	
始発時間	06:20	06:55	07:15	07:35	08:00	08:20	08:50	09:20	09:45	10:15	10:45	11:00	12:00	13:00	14:00	14:50	15:20	15:55	15:55	16:30	16:45	17:15	17:35	18:15	18:50	19:20	20:00	20:40	21:15	
終点時間	06:51	07:26	07:58	08:18	08:43	09:03	09:27	09:57	10:22	10:52	11:22	11:37	12:37	13:37	14:37	15:27	15:57	16:32	16:37	17:07	17:22	17:58	18:18	18:52	19:27	19:57	20:31	21:11	21:46	
終点停留所	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	
備考																		学期休み期間のみ運行	学期休み期間、運休											
柳橋（始発）	06:20	06:55	07:15	07:35	08:00	08:20	08:50	09:20	09:45	10:15	10:45	11:00	12:00	13:00	14:00	14:50	15:20	15:55	15:55	16:30	16:45	17:15	17:35	18:15	18:50	19:20	20:00	20:40	21:15	
神谷内-B	06:21	06:56	07:16	07:36	08:01	08:21	08:51	09:21	09:46	10:16	10:46	11:01	12:01	13:01	14:01	14:51	15:21	15:56	15:56	16:31	16:46	17:16	17:36	18:16	18:51	19:21	20:01	20:41	21:16	
小坂中-B	06:22	06:57	07:17	07:37	08:02	08:22	08:52	09:22	09:47	10:17	10:47	11:02	12:02	13:02	14:02	14:52	15:22	15:57	15:57	16:32	16:47	17:17	17:37	18:17	18:52	19:22	20:02	20:42	21:17	
星稜高校（駐車場内）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:00	-	-	-	-	-	-	-	-	-	-	
御所町-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:01	-	-	-	-	-	-	-	-	-	-	
鳴和台-D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:02	-	-	-	-	-	-	-	-	-	-	
桜丘高校前-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:03	-	-	-	-	-	-	-	-	-	-	
小坂-B	06:23	06:58	07:18	07:38	08:03	08:23	08:53	09:23	09:48	10:18	10:48	11:03	12:03	13:03	14:03	14:53	15:23	15:58	-	16:33	16:48	17:18	17:38	18:18	18:53	19:23	20:03	20:43	21:18	
鳴和-B	06:24	06:59	07:19	07:39	08:04	08:24	08:54	09:24	09:49	10:19	10:49	11:04	12:04	13:04	14:04	14:54	15:24	15:59	-	16:34	16:49	17:19	17:39	18:19	18:54	19:24	20:04	20:44	21:19	
春日町（東署方向）	06:26	07:01	07:22	07:42	08:07	08:27	08:56	09:26	09:51	10:21	10:51	11:06	12:06	13:06	14:06	14:56	15:26	16:01	16:06	16:36	16:51	17:21	17:41	18:21	18:56	19:26	20:06	20:46	21:21	
神宮寺町（東署方向）	06:27	07:02	07:23	07:43	08:08	08:28	08:57	09:27	09:52	10:22	10:52	11:07	12:07	13:07	14:07	14:57	15:27	16:02	16:07	16:37	16:52	17:22	17:42	18:22	18:57	19:27	20:07	20:47	21:22	
東警察署前（金沢駅方向）	06:28	07:03	07:24	07:44	08:09	08:29	08:58	09:28	09:53	10:23	10:53	11:08	12:08	13:08	14:08	14:58	15:28	16:03	16:08	16:38	16:53	17:23	17:43	18:23	18:58	19:28	20:08	20:48	21:23	
浅野町小学校前-B	06:29	07:04	07:25	07:45	08:10	08:30	08:59	09:29	09:54	10:24	10:54	11:09	12:09	13:09	14:09	14:59	15:29	16:04	16:09	16:39	16:54	17:24	17:44	18:24	18:59	19:29	20:09	20:49	21:24	
中島大橋-B	06:30	07:05	07:27	07:47	08:12	08:32	09:01	09:31	09:56	10:26	10:56	11:11	12:11	13:11	14:11	15:01	15:31	16:06	16:11	16:41	16:56	17:26	17:46	18:26	19:01	19:31	20:10	20:50	21:25	
金沢駅【１１】	06:35	07:10	07:34	07:54	08:19	08:39	09:07	09:37	10:02	10:32	11:02	11:17	12:17	13:17	14:17	15:07	15:37	16:12	16:17	16:47	17:02	17:32	17:52	18:32	19:07	19:37	20:14	20:54	21:29	
六枚町（労金前）	06:37	07:12	07:36	07:56	08:21	08:41	09:09	09:39	10:04	10:34	11:04	11:19	12:19	13:19	14:19	15:09	15:39	16:14	16:19	16:49	17:04	17:34	17:54	18:34	19:09	19:39	20:15	20:55	21:30	
三社-A	06:38	07:13	07:37	07:57	08:22	08:42	09:10	09:40	10:05	10:35	11:05	11:20	12:20	13:20	14:20	15:10	15:40	16:15	16:20	16:50	17:05	17:35	17:55	18:35	19:10	19:40	20:16	20:56	21:31	
長土塀-A	06:39	07:14	07:38	07:58	08:23	08:43	09:11	09:41	10:06	10:36	11:06	11:21	12:21	13:21	14:21	15:11	15:41	16:16	16:21	16:51	17:06	17:36	17:56	18:36	19:11	19:41	20:17	20:57	21:32	
富本町（増泉方向）	06:41	07:16	07:40	08:00	08:25	08:45	09:13	09:43	10:08	10:38	11:08	11:23	12:23	13:23	14:23	15:13	15:43	16:18	16:23	16:53	17:08	17:38	17:58	18:38	19:13	19:43	20:19	20:59	21:34	
中村町-A	06:42	07:17	07:41	08:01	08:26	08:46	09:14	09:44	10:09	10:39	11:09	11:24	12:24	13:24	14:24	15:14	15:44	16:19	16:24	16:54	17:09	17:39	17:59	18:39	19:14	19:44	20:20	21:00	21:35	
増泉（西金沢方向）	06:43	07:18	07:43	08:03	08:28	08:48	09:15	09:45	10:10	10:40	11:10	11:25	12:25	13:25	14:25	15:15	15:45	16:20	16:25	16:55	17:10	17:40	18:00	18:40	19:15	19:45	20:21	21:01	21:36	
泉本町-A	06:44	07:19	07:44	08:04	08:29	08:49	09:16	09:46	10:11	10:41	11:11	11:26	12:26	13:26	14:26	15:16	15:46	16:21	16:26	16:56	17:11	17:41	18:01	18:41	19:16	19:46	20:22	21:02	21:37	
西泉（西金沢駅方向）	06:46	07:21	07:47	08:07	08:32	08:52	09:18	09:48	10:13	10:43	11:13	11:28	12:28	13:28	14:28	15:18	15:48	16:23	16:28	16:58	17:13	17:43	18:03	18:43	19:18	19:48	20:24	21:04	21:39	
米泉-A	06:47	07:22	07:49	08:09	08:34	08:54	09:20	09:50	10:15	10:45	11:15	11:30	12:30	13:30	14:30	15:20	15:50	16:25	16:30	17:00	17:15	17:45	18:05	18:45	19:20	19:50	20:25	21:05	21:40	
西金沢-D	06:51	07:26	07:58	08:18	08:43	09:03	09:27	09:57	10:22	10:52	11:22	11:37	12:37	13:37	14:37	15:27	15:57	16:32	16:37	17:07	17:22	17:58	18:18	18:52	19:27	19:57	20:31	21:11	21:46	